epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,27.4749,0.37385,0.83804,1,0.38346,0.0670646,0.000332681,0.000332681
2,54.6535,0.13107,0.92367,1,0.18724,0.0340316,0.000633047,0.000633047
3,81.8484,0.08701,0.94105,1,0.14193,0.000965644,0.000900412,0.000900412
4,108.993,0.07027,0.93888,1,0.17585,0.0008515,0.0008515,0.0008515
5,136.133,0.0618,0.94043,1,0.13728,0.000802,0.000802,0.000802
6,163.334,0.05649,0.93733,1,0.15483,0.0007525,0.0007525,0.0007525
7,190.546,0.05144,0.94012,1,0.15898,0.000703,0.000703,0.000703
8,217.814,0.05068,0.9367,1,0.17039,0.0006535,0.0006535,0.0006535
9,245.137,0.04759,0.92491,1,0.19663,0.000604,0.000604,0.000604
10,272.441,0.04602,0.94136,1,0.14702,0.0005545,0.0005545,0.0005545
11,300.247,0.04536,0.92957,1,0.20816,0.000505,0.000505,0.000505
12,327.641,0.04557,0.93391,1,0.15423,0.0004555,0.0004555,0.0004555
13,354.974,0.04461,0.9246,1,0.20447,0.000406,0.000406,0.000406
14,382.286,0.04103,0.93112,1,0.18678,0.0003565,0.0003565,0.0003565
15,409.545,0.04124,0.92895,1,0.21912,0.000307,0.000307,0.000307
16,436.866,0.04135,0.92771,1,0.20259,0.0002575,0.0002575,0.0002575
17,464.124,0.04066,0.93019,1,0.19034,0.000208,0.000208,0.000208
18,491.448,0.0404,0.92678,1,0.19924,0.0001585,0.0001585,0.0001585
19,518.715,0.03929,0.92554,1,0.22629,0.000109,0.000109,0.000109
20,545.992,0.03962,0.92864,1,0.21521,5.95e-05,5.95e-05,5.95e-05
